#period	period time	calc time
430	1246	998
431	1498	1753
432	2251	500
433	1249	999
434	1498	1000
435	1497	499
436	1249	748
437	1499	999
438	2248	999
439	1499	755
440	1531	474
441	1224	1008
442	1499	496
443	1252	1265
444	1745	496
445	1750	1295
446	1497	494
447	1280	712
448	1459	499
449	1249	999
450	1499	998
451	1500	1497
452	1996	500
453	1249	749
454	1250	1001
455	1499	997
456	1499	752
457	1498	499
458	1499	1499
459	1754	996
460	1493	999
461	1499	499
462	1248	1001
463	1499	1001
464	1503	1245
465	2244	754
466	1499	500
467	1252	1000
468	1498	999
469	1498	501
470	1247	1251
471	1501	1496
472	1999	996
473	1495	999
474	1498	501
475	1257	998
476	1494	749
477	1498	1002
478	2248	753
479	1250	998
480	1497	1000
481	1500	999
482	1249	999
483	1749	749
484	1249	1749
485	1998	999
486	1499	998
487	1498	751
488	1253	995
489	1494	501
490	1499	998
491	1996	1000
492	1499	999
493	1499	1002
494	1499	506
495	1251	750
496	1249	1252
497	1746	750
498	1749	998
499	1497	999
500	1500	499
501	1249	998
502	1498	749
503	1498	999
504	1750	1247
505	1996	499
506	1249	749
507	1249	999
508	1499	1001
509	1499	750
510	1499	506
511	2000	501
512	1251	999
513	1497	749
514	1499	497
515	1246	999
516	1499	499
517	1250	1750
518	2248	500
519	1252	1001
520	1495	751
521	1258	992
522	1490	1009
523	1503	1001
524	1746	1246
525	1746	998
526	1498	1004
527	1502	498
528	1246	1000
529	1499	1253
530	1500	1999
531	2248	999
532	1498	999
533	1499	753
534	1499	500
535	1250	2207
536	2210	12
537	291	1494
538	2242	499
539	1249	757
540	1251	1004
541	1498	1002
542	1499	753
543	1501	498
544	1459	1537
545	2037	500
546	1250	999
547	1498	749
548	1248	1000
549	1748	498
550	1998	1001
551	1499	999
552	1499	999
553	1501	498
554	1247	998
555	1749	499
556	1250	1248
557	1999	499
558	1246	749
559	1499	499
560	1248	999
561	1499	999
562	1501	1000
563	2246	499
564	1503	497
565	1245	1000
566	1500	752
567	1498	750
568	1249	998
569	1499	1497
570	1997	999
571	1498	748
572	1502	501
573	1249	996
574	1495	1250
575	1499	999
576	2248	999
577	1498	1000
578	1499	506
579	1251	1001
580	1499	753
581	1252	998
582	1502	1494
583	2240	498
584	1257	997
585	1495	500
586	1246	997
587	1751	498
588	1244	1005
589	1752	1502
590	2001	497
591	1244	999
592	1498	749
593	1498	500
594	1249	999
595	1506	1245
596	2240	750
597	1249	1003
598	1498	499
599	1250	999
600	1747	500
601	1249	999
602	1747	1248
603	1997	501
604	1256	995
605	1495	999
606	1499	499
607	1248	1000
608	1500	1247
609	2245	749
610	1248	999
611	1499	999
612	1499	499
613	1249	1251
614	1499	999
615	1499	1498
616	2001	996
617	1496	501
618	1253	748
619	1495	499
620	1501	500
621	1496	499
622	1999	998
623	1497	499
624	1499	502
625	1249	999
626	1499	1249
627	1499	1500
628	2248	1253
629	1749	1000
630	1501	1001
631	1498	755
632	1450	1051
633	1549	998
634	1498	1499
635	2046	704
636	1200	1000
637	1499	998
